start_time_event;start_time_censor;end_time_event;end_time_censor;n_events;n_censors;;;
0,0001;0,375;0,7499;10000;1;5;;;
0,75;1,125;1,5;10000;4;5;;;
1,5;1,875;2,25;10000;5;5;;;
2,25;2,625;3;10000;5;5;;;
3;3,375;3,75;10000;11;6;;;
3,75;4,125;4,5;10000;9;6;;;
4,5;4,875;5,25;10000;1;6;;;
5,25;5,625;6;10000;15;6;;;
6;6,375;6,75;10000;2;6;;;
6,75;7,125;7,5;10000;11;6;;;
7,5;7,875;8,25;10000;5;6;;;
8,25;8,625;9;10000;4;6;;;
9;9,375;9,75;10000;7;5;;;
9,75;10,125;10,5;10000;1;5;;;
10,5;10,875;11,25;10000;4;5;;;
11,25;11,625;12;10000;2;5;;;
12;12,375;12,75;10000;4;0;;;
12,75;13,125;13,5;10000;1;0;;;
13,5;13,875;14,25;10000;0;0;;;
14,25;14,625;15;10000;0;0;;;
15;15,375;15,75;10000;0;0;;;
15,75;16,125;16,5;10000;0;0;;;
16,5;16,875;17,25;10000;0;0;;;
17,25;17,625;18;10000;0;0;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
