start_time_event;start_time_censor;end_time_event;end_time_censor;n_events;n_censors
0,0001;0,25;0,4999;10000;0;9
0,5;0,75;1;10000;0;9
1;1,25;1,5;10000;0;9
1,5;1,75;2;10000;1;9
2;2,25;2,5;10000;0;8
2,5;2,75;3;10000;0;8
3;3,25;3,5;10000;0;8
3,5;3,75;4;10000;1;8
4;4,25;4,5;10000;0;0
4,5;4,75;5;10000;0;0
5;5,25;5,5;10000;0;0
5,5;5,75;6;10000;1;0
6;6,25;6,5;10000;0;6
6,5;6,75;7;10000;0;6
7;7,25;7,5;10000;1;6
7,5;7,75;8;10000;0;6
8;8,25;8,5;10000;0;5
8,5;8,75;9;10000;1;5
9;9,25;9,5;10000;0;5
9,5;9,75;10;10000;0;5
10;10,25;10,5;10000;1;6
10,5;10,75;11;10000;2;6
11;11,25;11,5;10000;0;6
11,5;11,75;12;10000;1;6
12;12,25;12,5;10000;2;5
12,5;12,75;13;10000;1;5
13;13,25;13,5;10000;2;5
13,5;13,75;14;10000;0;5
14;14,25;14,5;10000;2;3
14,5;14,75;15;10000;0;3
15;15,25;15,5;10000;3;3
15,5;15,75;16;10000;0;3
16;16,25;16,5;10000;1;2
16,5;16,75;17;10000;0;2
17;17,25;17,5;10000;1;2
17,5;17,75;18;10000;0;2
18;18,25;18,5;10000;0;2
18,5;18,75;19;10000;0;2
19;19,25;19,5;10000;1;2
19,5;19,75;20;10000;1;2
20;20,25;20,5;10000;0;1
20,5;20,75;21;10000;0;1
21;21,25;21,5;10000;1;1
21,5;21,75;22;10000;0;1
22;22,25;22,5;10000;0;1
22,5;22,75;23;10000;0;1
23;23,25;23,5;10000;2;1
23,5;23,75;24;10000;0;1
24;24,25;24,5;10000;0;0
24,5;24,75;25;10000;0;0
25;25,25;25,5;10000;0;0
25,5;25,75;26;10000;0;0
26;26,25;26,5;10000;0;0
26,5;26,75;27;10000;0;0
27;27,25;27,5;10000;0;0
27,5;27,75;28;10000;0;0
28;28,25;28,5;10000;0;3
28,5;28,75;29;10000;0;3
29;29,25;29,5;10000;2;3
29,5;29,75;30;10000;0;3
30;30,25;30,5;10000;0;0
30,5;30,75;31;10000;0;0
31;31,25;31,5;10000;0;0
31,5;31,75;32;10000;0;0
32;32,25;32,5;10000;0;0
32,5;32,75;33;10000;0;0
33;33,25;33,5;10000;0;0
33,5;33,75;34;10000;0;0
34;34,25;34,5;10000;0;0
34,5;34,75;35;10000;0;0
35;35,25;35,5;10000;2;0
35,5;35,75;36;10000;0;0
36;36,25;36,5;10000;0;0
36,5;36,75;37;10000;0;0
37;37,25;37,5;10000;0;0
37,5;37,75;38;10000;0;0
38;38,25;38,5;10000;0;0
38,5;38,75;39;10000;0;0
39;39,25;39,5;10000;0;0
39,5;39,75;40;10000;0;0
40;40,25;40,5;10000;0;0
40,5;40,75;41;10000;0;0
41;41,25;41,5;10000;0;0
41,5;41,75;42;10000;0;0
42;42,25;42,5;10000;0;0
42,5;42,75;43;10000;0;0
43;43,25;43,5;10000;9;0
43,5;43,75;44;10000;0;0
44;44,25;44,5;10000;0;0
44,5;44,75;45;10000;0;0
45;45,25;45,5;10000;0;0
45,5;45,75;46;10000;0;0
46;46,25;46,5;10000;0;0
46,5;46,75;47;10000;0;0
47;47,25;47,5;10000;0;0
47,5;47,75;48;10000;0;11
